24 Jun 2016 00:12:43 : LimitlessMc , Botfuzzy77#2926 , Pokemon that Give Attack EVs
Ekans - 1
Arbok - 2
Nidoran (male) - 1
Nidorino - 2
Paras - 1
Mankey - 1
Primeape - 2
Growlithe - 1
Machop - 1
Machoke - 2
Bellsprout - 1
Weepinbell - 2
Krabby - 1
Kingler - 2
Hitmonlee - 2
Rhydon - 2
Goldeen - 1
Seaking - 2

24 Jun 2016 00:13:16 : LimitlessMc , Nerokin#3586 , <@&148203743362547712> Can someone kill <@158641216311787520>
24 Jun 2016 00:13:40 : LimitlessMc , Nalk Xulk Uk Eht#7098 , @everyone bet
24 Jun 2016 00:13:46 : LimitlessMc , Nerokin#3586 , !queue
24 Jun 2016 00:13:47 : (MUTED PLAYER)-LimitlessMc , Gerald#7099 , The queue is empty
24 Jun 2016 00:13:57 : LimitlessMc , DarkGamer41/DarkishGamer#8642 , bet for what?
24 Jun 2016 00:14:02 : LimitlessMc , Genesect#6492 , !meme bet
24 Jun 2016 00:14:03 : (MUTED PLAYER)-LimitlessMc , Gerald#7099 , http://i.imgflip.com/16cglp.jpg
24 Jun 2016 00:14:17 : LimitlessMc , Genesect#6492 , <@151163520120127488>
24 Jun 2016 00:14:27 : LimitlessMc , Nerokin#3586 , <@158641216311787520> What is wrong with you?
24 Jun 2016 00:14:29 : (MUTED PLAYER)-LimitlessMc , Gerald#7099 , What is sleepover?
24 Jun 2016 00:14:34 : LimitlessMc , Mank#0033 , fuck off with the pings
24 Jun 2016 00:14:40 : LimitlessMc , Impasta Snake#1447 , !skip
24 Jun 2016 00:14:51 : LimitlessMc , Impasta Snake#1447 , !youtube 7th element
24 Jun 2016 00:14:59 : LimitlessMc , Nalk Xulk Uk Eht#7098 , <@151438890107011072> bet
24 Jun 2016 00:15:16 : LimitlessMc , Mank#0033 , banned
24 Jun 2016 00:15:51 : LimitlessMc , GuardiaN#3763 , !stop
24 Jun 2016 00:15:52 : LimitlessMc , Nalk Xulk Uk Eht#7098 , !youtube 700 Subscriber special
24 Jun 2016 00:15:56 : LimitlessMc , GuardiaN#3763 , !play monstercat skybreaker
24 Jun 2016 00:16:07 : LimitlessMc , Impasta Snake#1447 , !play 7th element
24 Jun 2016 00:17:43 : LimitlessMc , Impasta Snake#1447 , !skip
24 Jun 2016 00:18:00 : LimitlessMc , GuardiaN#3763 , Gj
24 Jun 2016 00:18:15 : LimitlessMc , Nerokin#3586 , !queue
24 Jun 2016 00:18:15 : (MUTED PLAYER)-LimitlessMc , Gerald#7099 , The queue is empty
24 Jun 2016 00:18:25 : LimitlessMc , GuardiaN#3763 , !youtube tuttutchild song
24 Jun 2016 00:18:35 : LimitlessMc , Nerokin#3586 , Gerald is broken
24 Jun 2016 00:19:03 : LimitlessMc , GuardiaN#3763 , Who wants to die?
24 Jun 2016 00:19:09 : LimitlessMc , GuardiaN#3763 , Stop messing with Gerald
24 Jun 2016 00:19:10 : LimitlessMc , Impasta Snake#1447 , I can't die
24 Jun 2016 00:19:23 : LimitlessMc , Nerokin#3586 , I'm not messing with Gerald
24 Jun 2016 00:19:45 : LimitlessMc , Impasta Snake#1447 , !play Pacific coast party
24 Jun 2016 00:20:03 : LimitlessMc , Nalk Xulk Uk Eht#7098 , !youtube 700 Subscriber special
24 Jun 2016 00:20:06 : LimitlessMc , GuardiaN#3763 , Have fun
24 Jun 2016 00:20:20 : LimitlessMc , GuardiaN#3763 , ;)
24 Jun 2016 00:21:37 : LimitlessMc , Nerokin#3586 , !youtube Modestep - Saved The World (xKore Remix) [Drumstep]
24 Jun 2016 00:22:01 : LimitlessMc , Nerokin#3586 , <@158641216311787520> Get over here
24 Jun 2016 00:22:02 : (MUTED PLAYER)-LimitlessMc , Gerald#7099 , Game of thrones.
24 Jun 2016 00:23:02 : LimitlessMc , GuardiaN#3763 , I made gerald ragequit for a while
24 Jun 2016 00:23:18 : LimitlessMc , GuardiaN#3763 , Until you guys stop posting yandere and 700 subscriber special songs
24 Jun 2016 00:23:37 : LimitlessMc , Nerokin#3586 , Hey <@134441036905840640> Can you do !kill for <@158641216311787520>? He's not working.
24 Jun 2016 00:24:05 : LimitlessMc , Nerokin#3586 , I'm not doing that...
24 Jun 2016 00:24:46 : LimitlessMc , Impasta Snake#1447 , Don't look at me like I did that
24 Jun 2016 00:36:39 : LimitlessMc , Mank#0033 , use plug fuck gerald
24 Jun 2016 00:37:18 : LimitlessMc , Nalk Xulk Uk Eht#7098 , !youtube bet
24 Jun 2016 00:37:26 : LimitlessMc , Nalk Xulk Uk Eht#7098 , fss
24 Jun 2016 00:37:30 : LimitlessMc , Nalk Xulk Uk Eht#7098 , gerald still ded?
24 Jun 2016 00:37:33 : LimitlessMc , Nerokin#3586 , <@151163520120127488> You already broke Gerald
24 Jun 2016 00:37:40 : LimitlessMc , Nalk Xulk Uk Eht#7098 , lmao
24 Jun 2016 00:37:53 : LimitlessMc , Nalk Xulk Uk Eht#7098 , bet
24 Jun 2016 00:41:48 : LimitlessMc , TheMajesticSeal#2289 , When mystz abuses his mod powers #banmystz
24 Jun 2016 00:41:53 : LimitlessMc , TheMajesticSeal#2289 , <@151437497191235585>
24 Jun 2016 00:42:34 : LimitlessMc , Mystz#8072 , when you should kill yourself
24 Jun 2016 00:42:39 : LimitlessMc , TheMajesticSeal#2289 , awww
24 Jun 2016 00:42:59 : LimitlessMc , TheMajesticSeal#2289 , jk
24 Jun 2016 00:43:01 : LimitlessMc , TheMajesticSeal#2289 , thou
24 Jun 2016 00:43:16 : LimitlessMc , TheMajesticSeal#2289 , a mod who kicks me for being a bitch is a good mod XD
24 Jun 2016 00:47:20 : LimitlessMc , Mank#0033 , lol dick rider
24 Jun 2016 00:47:40 : LimitlessMc , MoonWolf (Fornor)#8885 , !pokemon Poochyena
24 Jun 2016 00:47:40 : LimitlessMc , Botfuzzy77#2926 , Pixelmon Page: http://pixelmonmod.com/wiki/index.php?title=Poochyena
24 Jun 2016 00:47:40 : LimitlessMc , Botfuzzy77#2926 , Bulbapedia Page: http://bulbapedia.bulbagarden.net/wiki/Poochyena
24 Jun 2016 00:47:40 : LimitlessMc , Botfuzzy77#2926 , Pokemon DB: http://pokemondb.net/pokedex/Poochyena
24 Jun 2016 00:47:40 : LimitlessMc , Botfuzzy77#2926 , Smogon: http://www.smogon.com/dex/bw/pokemon/Poochyena
24 Jun 2016 01:06:01 : LimitlessMc , MoonWolf (Fornor)#8885 , !ev speed
24 Jun 2016 01:06:01 : LimitlessMc , Botfuzzy77#2926 , *Pokemon Not Found
*
24 Jun 2016 01:06:07 : LimitlessMc , MoonWolf (Fornor)#8885 , !ev spd
24 Jun 2016 01:06:07 : LimitlessMc , Botfuzzy77#2926 , Pokemon that Give Speed EVs
Weedle - 1
Pidgey - 1
Pidgeotto - 2
Rattata - 1
Raticate - 2
Spearow - 1
Fearow - 2
Pichu - 1
Pikachu - 2
Raichu - 3
Vulpix - 1
Zubat - 1
Golbat - 2
Diglett - 1
Dugtrio - 2
Meowth - 1
Persian - 2
Poliwag - 1
Poliwhirl - 2
Ponyta - 1
Rapidash - 2
Voltorb - 1
Electrode - 2
Staryu - 1
Starmie - 2
Electabuzz - 2
Magikarp - 1 (finally, a use.)
Elekid - 1

24 Jun 2016 01:06:15 : LimitlessMc , MoonWolf (Fornor)#8885 , lol magikarp
24 Jun 2016 01:19:57 : Cipher , Nerokin#3586 , We almost have all the TMs
24 Jun 2016 01:20:04 : Cipher , Nerokin#3586 , Just missing 5-6 of them
24 Jun 2016 01:20:57 : Cipher , Nerokin#3586 , TM10, TM25, TM108, and TM133
24 Jun 2016 01:28:04 : LimitlessMc , ZyroPlayz#3967 , !ev atk
24 Jun 2016 01:28:04 : LimitlessMc , Botfuzzy77#2926 , *Pokemon Not Found
*
24 Jun 2016 01:28:07 : LimitlessMc , ZyroPlayz#3967 , D:
24 Jun 2016 01:28:33 : LimitlessMc , ZyroPlayz#3967 , !ev def
24 Jun 2016 01:28:33 : LimitlessMc , Botfuzzy77#2926 , Pokemon that Give Defence EVs
Metapod - 2
Kakuna - 2
Sandshrew - 1
Sandslash - 2
Geodude - 1
Graveler - 2
Slowbro - 2
Shellder - 1
Onix - 1
Exeggcute - 1
Cubone - 1
Marowak - 2
Koffing - 1
Weezing - 2
Rhyhorn - 1
Tangela - 1
Miltank - 2
Aron - 1
Lairon - 2

24 Jun 2016 01:28:38 : LimitlessMc , Nerokin#3586 , !ev Attack
24 Jun 2016 01:28:38 : LimitlessMc , Botfuzzy77#2926 , *Pokemon Not Found
*
