19 Jul 2016 19:23:31 : LimitlessMc , kyle#6819 , ye
19 Jul 2016 19:24:01 : Cipher , Jabulla#3761 , I wonder if they are planning on upgrading the server cap or the RAM because of the increased popularity?
19 Jul 2016 19:24:48 : Cipher , Akincifenwa#5072 , they gotta do that
19 Jul 2016 19:25:01 : Cipher , Akincifenwa#5072 , have to*
19 Jul 2016 19:25:15 : LimitlessMc , Botfuzzy77#2209 , Welcome <@197777931248992258> to LimitlessMc!
19 Jul 2016 19:25:27 : Cipher , Akincifenwa#5072 , or else everytime server is ded
19 Jul 2016 19:25:50 : Cipher , Jabulla#3761 , Last night, I dropped, went to log back on, 102/100  Must have been full and at least 2 VIPs.  I was tempted to buy VIP just so I could log on... :\
19 Jul 2016 19:25:56 : Cipher , Calamariela#4119 , <@!187658828739903489>  you want your name changed? xD
19 Jul 2016 19:25:56 : Cipher , Botfuzzy77#2209 , Akincifenwa is afk for reason:
**pokémon go**
19 Jul 2016 19:26:12 : Cipher , Akincifenwa#5072 , lol if you want
19 Jul 2016 19:26:21 : Cipher , Calamariela#4119 , haha you like it
19 Jul 2016 19:26:28 : Cipher , Jabulla#3761 , ;server
19 Jul 2016 19:26:29 : Cipher , Botfuzzy77#2209 , **Server Status**
 *Online Players*: 9 players out of 100
 *Ping*: 144.335 ms
 *MC Version*: 1.8.9
19 Jul 2016 19:26:29 : Cipher , Botfuzzy77#2209 , **Players Online**:
 *Cpt_BaconNipple, Elijel, ajankeys, Xenvar, grapot, LOL_123, hollowminer1, TROLL, fossB...*
19 Jul 2016 19:26:34 : Cipher , Jabulla#3761 , Here we go
19 Jul 2016 19:26:50 : Cipher , Akincifenwa#5072 , not really le <@183307266475294721>
19 Jul 2016 19:26:59 : Cipher , Calamariela#4119 , xD FINE
19 Jul 2016 19:27:06 : Cipher , Calamariela#4119 , hmph
19 Jul 2016 19:27:12 : Cipher , Akincifenwa#5072 , AKINCIFENWA
19 Jul 2016 19:27:25 : Cipher , Jabulla#3761 , It's not like I want to change your name or anything... B-baka
19 Jul 2016 19:27:31 : Cipher , Akincifenwa#5072 , ;image akinfenwa
19 Jul 2016 19:27:32 : Cipher , Botfuzzy77#2209 , http://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/6A7F/production/_89836272_pen2.png
19 Jul 2016 19:27:34 : Cipher , Jabulla#3761 , Tsundere Calimari
19 Jul 2016 19:27:49 : Cipher , Akincifenwa#5072 , ;image akincifenwa
19 Jul 2016 19:27:49 : Cipher , Botfuzzy77#2209 , ERROR
19 Jul 2016 19:28:02 : Cipher , Akincifenwa#5072 , -.-
19 Jul 2016 19:28:18 : Cipher , Jabulla#3761 , Holy SHIT, I have had this same FUCKING part of my Gym rollback 5 times now
19 Jul 2016 19:28:34 : Cipher , Akincifenwa#5072 , you goin for a gym?
19 Jul 2016 19:28:43 : Cipher , Jabulla#3761 , Gonna Overtake AJ on bug
19 Jul 2016 19:28:45 : LimitlessMc , Wrath#5712 , ayy its up again
19 Jul 2016 19:28:54 : Cipher , Akincifenwa#5072 , le
19 Jul 2016 19:28:55 : LimitlessMc , Wrath#5712 , never mind
19 Jul 2016 19:29:14 : LimitlessMc , Wrath#5712 , right its up
19 Jul 2016 19:29:33 : LimitlessMc , Wrath#5712 , WOW my mc crashed
19 Jul 2016 19:29:46 : Cipher , Akincifenwa#5072 , he was fighting with skyd when grass gym was open, both were going for it that time
19 Jul 2016 19:30:07 : Cipher , Jabulla#3761 , I have been doing pretty much nothing but work towards this  Gym for 4-5 weeks now, Building a Gym, breeding bugs. Pretty much all my time and ingame money has gone into this... And this one room rolling back 5 times, haas made me wonder if I even want to keep going
