23 Jun 2016 00:36:17 : LimitlessMc , TheMajesticSeal#2289 , so?....
23 Jun 2016 00:36:19 : LimitlessMc , Wertfuzzy77#0274 , Wtb server restart
23 Jun 2016 00:36:29 : LimitlessMc , Genesect#6492 , mank said no
23 Jun 2016 00:36:34 : LimitlessMc , Wertfuzzy77#0274 , Rip
23 Jun 2016 00:36:36 : LimitlessMc , Wertfuzzy77#0274 , Gl
23 Jun 2016 00:36:37 : LimitlessMc , Genesect#6492 , ;w;
23 Jun 2016 00:36:46 : LimitlessMc , Wertfuzzy77#0274 , I leave now <3
23 Jun 2016 00:36:48 : LimitlessMc , Genesect#6492 , maybe since theres 2 of us having th e problem
23 Jun 2016 00:36:54 : LimitlessMc , Genesect#6492 , he'll say yes
23 Jun 2016 00:37:10 : LimitlessMc , Nalk Xulk Uk Eht#7098 , bet <@134441036905840640>
23 Jun 2016 00:37:14 : LimitlessMc , Mank#0033 , restart in 5 m
23 Jun 2016 00:37:18 : LimitlessMc , Genesect#6492 , alrigjt
23 Jun 2016 00:37:30 : LimitlessMc , yu grey#1649 , thx
23 Jun 2016 00:37:40 : LimitlessMc , TheMajesticSeal#2289 , all i have are these two....
23 Jun 2016 00:37:45 : LimitlessMc , Mank#0033 , you gonna deal with all the chunk problems and people complaining <@135660968804876289>
23 Jun 2016 00:37:57 : LimitlessMc , Genesect#6492 , <@151438890107011072>  ill reply to them with
23 Jun 2016 00:37:59 : LimitlessMc , Genesect#6492 , le
23 Jun 2016 00:38:03 : LimitlessMc , Mank#0033 , le
23 Jun 2016 00:38:05 : LimitlessMc , TheMajesticSeal#2289 , http://prntscr.com/bjsxbi
23 Jun 2016 00:38:11 : LimitlessMc , Nalk Xulk Uk Eht#7098 , ```u are not leaving @Wertfuzzy77#0274 ```
23 Jun 2016 00:38:12 : LimitlessMc , Genesect#6492 , sucks
23 Jun 2016 00:38:31 : LimitlessMc , Mank#0033 , not good enough proof sorry man
23 Jun 2016 00:38:46 : LimitlessMc , TheMajesticSeal#2289 , i thought you can check who it spawned near?
23 Jun 2016 00:38:47 : LimitlessMc , Nalk Xulk Uk Eht#7098 , ayy toph is in server
23 Jun 2016 00:38:54 : LimitlessMc , Genesect#6492 , thats if its alive
23 Jun 2016 00:38:56 : LimitlessMc , Genesect#6492 , and jay can do it
23 Jun 2016 00:39:03 : LimitlessMc , Genesect#6492 , but not if its gone
23 Jun 2016 00:43:06 : LimitlessMc , TheMajesticSeal#2289 , whatever then
23 Jun 2016 00:43:26 : LimitlessMc , Genesect#6492 , jokes on you
23 Jun 2016 00:43:33 : LimitlessMc , Genesect#6492 , i've been on the whole time
23 Jun 2016 00:43:34 : LimitlessMc , Genesect#6492 , at my house
23 Jun 2016 00:43:38 : LimitlessMc , Genesect#6492 , and caught the celebi
23 Jun 2016 00:43:41 : LimitlessMc , Genesect#6492 , jk prank
23 Jun 2016 00:43:46 : LimitlessMc , Genesect#6492 , social experement
23 Jun 2016 00:43:54 : LimitlessMc , Nalk Xulk Uk Eht#7098 , mank kicked you
23 Jun 2016 00:43:58 : LimitlessMc , Nalk Xulk Uk Eht#7098 , a ton of times
23 Jun 2016 00:44:04 : LimitlessMc , Nalk Xulk Uk Eht#7098 , can't be prank lel
23 Jun 2016 00:45:14 : LimitlessMc , Genesect#6492 , i litterally said jk
23 Jun 2016 00:45:22 : LimitlessMc , Genesect#6492 , and its a prank
23 Jun 2016 00:45:23 : LimitlessMc , Nalk Xulk Uk Eht#7098 , idgaf
23 Jun 2016 00:45:28 : LimitlessMc , Genesect#6492 , so yes it can be a prank
23 Jun 2016 00:45:36 : LimitlessMc , Genesect#6492 , the prank was that i was online
23 Jun 2016 00:45:41 : LimitlessMc , Genesect#6492 , then i said jk about it
23 Jun 2016 01:18:09 : LimitlessMc , Botfuzzy77#2926 , *Pokemon Not Found
*
23 Jun 2016 01:18:20 : LimitlessMc , Nalk Xulk Uk Eht#7098 , its att
23 Jun 2016 01:18:31 : LimitlessMc , Nalk Xulk Uk Eht#7098 , fss
23 Jun 2016 01:18:33 : LimitlessMc , Botfuzzy77#2926 , Pokemon that Give Attack EVs
Ekans - 1
Arbok - 2
Nidoran (male) - 1
Nidorino - 2
Paras - 1
Mankey - 1
Primeape - 2
Growlithe - 1
Machop - 1
Machoke - 2
Bellsprout - 1
Weepinbell - 2
Krabby - 1
Kingler - 2
Hitmonlee - 2
Rhydon - 2
Goldeen - 1
Seaking - 2

