03 Dec 2016 04:36:18 : LimitlessMc, mainchat, crystal4209#4698, yeah
03 Dec 2016 04:36:37 : LimitlessMc, mainchat, Third_Worm#4804, Yup
03 Dec 2016 04:36:42 : LimitlessMc, mainchat, Third_Worm#4804, We will
03 Dec 2016 04:36:45 : LimitlessMc, mainchat, crystal4209#4698, but dont be a suck up though
03 Dec 2016 04:36:55 : LimitlessMc, mainchat, Third_Worm#4804, ^
03 Dec 2016 04:36:55 : LimitlessMc, mainchat, Botfuzzy77#2209, ^
03 Dec 2016 04:36:59 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:37:14 : LimitlessMc, mainchat, crystal4209#4698, yeah
03 Dec 2016 04:37:32 : LimitlessMc, mainchat, Third_Worm#4804, Me?
03 Dec 2016 04:37:37 : LimitlessMc, mainchat, crystal4209#4698, lol
03 Dec 2016 04:37:38 : LimitlessMc, mainchat, Third_Worm#4804, There
03 Dec 2016 04:37:43 : LimitlessMc, mainchat, Third_Worm#4804, That's how
03 Dec 2016 04:37:54 : LimitlessMc, mainchat, crystal4209#4698, i can tell you if you want
03 Dec 2016 04:38:01 : LimitlessMc, mainchat, Third_Worm#4804, Lol, sure
03 Dec 2016 04:38:16 : LimitlessMc, mainchat, crystal4209#4698, because im also helper dont be forgetting that
03 Dec 2016 04:38:25 : LimitlessMc, mainchat, crystal4209#4698, shush
03 Dec 2016 04:38:42 : LimitlessMc, mainchat, Third_Worm#4804, Yup
03 Dec 2016 04:38:53 : LimitlessMc, mainchat, crystal4209#4698, i know theres nothing wrong with being a weeb
03 Dec 2016 04:39:17 : LimitlessMc, mainchat, AlphaBit#3869, one of us
03 Dec 2016 04:39:19 : LimitlessMc, mainchat, AlphaBit#3869, one of us
03 Dec 2016 04:39:21 : LimitlessMc, mainchat, AlphaBit#3869, one of us
03 Dec 2016 04:39:24 : LimitlessMc, mainchat, crystal4209#4698, im not going to be a weeabo
03 Dec 2016 04:39:37 : LimitlessMc, mainchat, crystal4209#4698, not yet
03 Dec 2016 04:39:37 : LimitlessMc, mainchat, AlphaBit#3869, 5/7 would rewatch
03 Dec 2016 04:39:44 : LimitlessMc, mainchat, AlphaBit#3869, stfu
03 Dec 2016 04:39:46 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:40:00 : LimitlessMc, mainchat, crystal4209#4698, i havent had much time to watch anime
03 Dec 2016 04:40:01 : LimitlessMc, mainchat, AlphaBit#3869, jk ❤
03 Dec 2016 04:40:10 : LimitlessMc, mainchat, Third_Worm#4804, Anime?
