12 Sep 2016 16:57:59 : LimitlessMc, botchat, Botfuzzy77#2209, **Players Online**:
 *PandaInPijama, BioHazardZ5, OttoRa, MakotoxX, NikoAKA, jarryd199, WesleyPipes540, Cookieeater1, GrimmyTheGamer, KillerStatz, MarianKnight, TheCrockyBide...*
12 Sep 2016 16:59:02 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
12 Sep 2016 16:59:24 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, https://www.youtube.com/watch?v=-MlV9Kgfu8Y
12 Sep 2016 16:59:38 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
12 Sep 2016 17:00:09 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
12 Sep 2016 17:01:39 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
12 Sep 2016 17:02:09 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
12 Sep 2016 17:03:30 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
12 Sep 2016 17:04:56 : Penguins, general, Botfuzzy77#2209, **xAlain_(Charizard)**(Ass) is now Online!
12 Sep 2016 17:05:30 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
12 Sep 2016 17:06:01 : GetPlebd, weeaboo-chat, Gilles#3169, mijnkreft
12 Sep 2016 17:07:36 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Online!
12 Sep 2016 17:07:37 : Penguins, general, Botfuzzy77#2209, **xAlain_(Charizard)**(Ass) is now Offline!
12 Sep 2016 17:08:02 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
12 Sep 2016 17:08:03 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
12 Sep 2016 17:09:05 : Penguins, general, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Online!
12 Sep 2016 17:09:08 : Penguins, general, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Offline!
12 Sep 2016 17:09:33 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
12 Sep 2016 17:09:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Harrys**(SchutzStaffel) is now Online!
12 Sep 2016 17:11:50 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
12 Sep 2016 17:12:14 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
12 Sep 2016 17:12:36 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Offline!
12 Sep 2016 17:14:05 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
12 Sep 2016 17:15:07 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
12 Sep 2016 17:15:07 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
12 Sep 2016 17:16:46 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
