18 Aug 2016 20:12:37 : Gang ;), general, Survivra#7191, ;image Alola ship
18 Aug 2016 20:12:38 : Gang ;), general, Botfuzzy77#2209, http://img13.deviantart.net/d220/i/2016/160/c/d/amourshipping_alola_by_pokeanistars-da5lqzp.png
18 Aug 2016 20:12:46 : Gang ;), general, Survivra#7191, Dafuq
18 Aug 2016 20:12:47 : LimitlessMc, botchat, Resolate#7058, ;afk Anime is calling for me
18 Aug 2016 20:12:47 : Gang ;), general, ZyroPlayz#3967, fuck yeah
18 Aug 2016 20:12:47 : LimitlessMc, botchat, Botfuzzy77#2209, Resolate is now AFK for reason:
**Anime is calling for me**
18 Aug 2016 20:12:53 : Gang ;), general, Survivra#7191, in alola I want
18 Aug 2016 20:12:57 : Gang ;), general, Survivra#7191, well
18 Aug 2016 20:12:59 : LimitlessMc, mainchat, Thunderlord#7915, Please unban Jesus, he didn't know he was scamming
18 Aug 2016 20:13:04 : Gang ;), general, ZyroPlayz#3967, that is alola word around is serenas gonna go to alola
18 Aug 2016 20:13:09 : Gang ;), general, Survivra#7191, the gym leader BEING A FUCKING girl
18 Aug 2016 20:13:16 : Gang ;), general, Survivra#7191, No I fcking hate serena
18 Aug 2016 20:13:19 : Gang ;), general, Survivra#7191, she's always like
18 Aug 2016 20:13:26 : Gang ;), general, Survivra#7191, RIGHT, RIGHT, RIGHT, RIGHT
18 Aug 2016 20:13:29 : Gang ;), general, ZyroPlayz#3967, ur a faggot then
18 Aug 2016 20:13:34 : Gang ;), general, Survivra#7191, nah m8
18 Aug 2016 20:13:34 : Gang ;), general, ZyroPlayz#3967, ;image axew faggot
18 Aug 2016 20:13:35 : Gang ;), general, Botfuzzy77#2209, http://img00.deviantart.net/13d7/i/2016/226/1/b/axew_lineart___free_request_by_3st3r-dadygg5.png
18 Aug 2016 20:13:39 : Gang ;), general, ZyroPlayz#3967, XD
18 Aug 2016 20:13:42 : LimitlessMc, botchat, Thunderlord#7915, ;server
18 Aug 2016 20:13:42 : LimitlessMc, botchat, Botfuzzy77#2209, **Server IP**: 23.111.129.82
