20 Jul 2016 03:06:49 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
20 Jul 2016 03:15:49 : Cipher, general, Botfuzzy77#2209, **Allianths**(Officer) is now Online!
20 Jul 2016 03:15:55 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
20 Jul 2016 03:16:17 : League Of Legends, general, Legit_0reo#9709, @ThaOriginal
20 Jul 2016 03:16:22 : League Of Legends, general, Legit_0reo#9709, you wanna play league
20 Jul 2016 03:17:55 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
20 Jul 2016 03:18:46 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Offline!
20 Jul 2016 03:26:45 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Online!
20 Jul 2016 03:27:04 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Offline!
20 Jul 2016 03:27:21 : 02Gaming, general, Botfuzzy77#2209, **LightShadow**(Guide) is now Online!
20 Jul 2016 03:27:23 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
20 Jul 2016 03:29:24 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
20 Jul 2016 03:30:51 : 02Gaming, general, Wu Tang#7652, ;kys
20 Jul 2016 03:30:51 : 02Gaming, general, Botfuzzy77#2209, Sure, just gimme some bleach
20 Jul 2016 03:42:37 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Online!
20 Jul 2016 03:44:42 : Cipher, general, Kburn1999#5526, lolz
20 Jul 2016 03:44:59 : Cipher, general, Kburn1999#5526, i guess just look up some small arena builds
20 Jul 2016 03:46:08 : Cipher, general, Skyd#9935, I am but I don't know whether I want the lobby to be the total opposite of the arena 
20 Jul 2016 03:46:09 : Cipher, general, Kburn1999#5526, oh damn 300 votes gets you moltres tf
20 Jul 2016 03:46:33 : Cipher, general, Skyd#9935, Yeahhh
20 Jul 2016 03:46:34 : Cipher, general, Botfuzzy77#2209, **PacMen**(Grunt) is now Offline!
20 Jul 2016 03:46:34 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
20 Jul 2016 03:48:34 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
20 Jul 2016 03:54:06 : Cipher, bot_land, Skyd#9935, ;song
20 Jul 2016 03:54:27 : Cipher, general, Kburn1999#5526, 
20 Jul 2016 03:54:32 : Cipher, general, Kburn1999#5526, what about this sky
20 Jul 2016 03:54:38 : LimitlessMc, mainchat, Botfuzzy77#2209, Welcome @Pokken to LimitlessMc!
20 Jul 2016 03:54:46 : Cipher, general, Skyd#9935, For the lobby? 
20 Jul 2016 03:54:48 : Cipher, general, Kburn1999#5526, yea
