09 May 2017 23:38:19 : Alone Server, bot_chat, Crystal4209#4698, ;leave
09 May 2017 23:38:21 : LimitlessMc, mainchat, Third_Worm#4804, alright
09 May 2017 23:38:33 : LimitlessMc, voice-junk, Third_Worm#4804, crysTAl
09 May 2017 23:38:36 : LimitlessMc, voice-junk, Third_Worm#4804, hullo
09 May 2017 23:38:40 : LimitlessMc, voice-junk, Third_Worm#4804, How are you?
09 May 2017 23:38:41 : memes, general, Thees#8359, fuck the
09 May 2017 23:38:43 : memes, general, Thees#8359, niggers
09 May 2017 23:38:57 : LimitlessMc, voice-junk, Third_Worm#4804, *nods*
09 May 2017 23:39:07 : LimitlessMc, voice-junk, Third_Worm#4804, get better hun
09 May 2017 23:39:10 : LimitlessMc, voice-junk, Third_Worm#4804, o
09 May 2017 23:39:14 : LimitlessMc, voice-junk, Third_Worm#4804, cute
09 May 2017 23:39:19 : LimitlessMc, voice-junk, Third_Worm#4804, new bus driver nice?
09 May 2017 23:39:34 : LimitlessMc, voice-junk, Third_Worm#4804, its
09 May 2017 23:39:40 : LimitlessMc, voice-junk, Third_Worm#4804, ***WARM***
09 May 2017 23:40:05 : LimitlessMc, voice-junk, Crystal4209#4698, Super warm
09 May 2017 23:40:19 : LimitlessMc, voice-junk, Third_Worm#4804, lol
09 May 2017 23:40:50 : LimitlessMc, voice-junk, Third_Worm#4804, *littleee kidss*
09 May 2017 23:41:11 : LimitlessMc, voice-junk, Third_Worm#4804, i hear tiny versions of my frein;s
09 May 2017 23:41:31 : LimitlessMc, voice-junk, Third_Worm#4804, ;D
09 May 2017 23:41:37 : LimitlessMc, voice-junk, Crystal4209#4698, XD
09 May 2017 23:42:02 : LimitlessMc, voice-junk, Third_Worm#4804, why you cry?
09 May 2017 23:42:04 : LimitlessMc, voice-junk, Third_Worm#4804, What happen?
09 May 2017 23:42:17 : LimitlessMc, voice-junk, Third_Worm#4804, ah
09 May 2017 23:42:22 : LimitlessMc, voice-junk, Third_Worm#4804, I see now
09 May 2017 23:42:49 : LimitlessMc, voice-junk, Third_Worm#4804, same, i had frein's who abandoned me
09 May 2017 23:43:12 : LimitlessMc, voice-junk, Third_Worm#4804, *nod*
09 May 2017 23:44:38 : LimitlessMc, voice-junk, Third_Worm#4804, yeah, same
09 May 2017 23:45:47 : LimitlessMc, mainchat, darth kota#9446, Rip me some people at work...
09 May 2017 23:45:48 : LimitlessMc, voice-junk, Third_Worm#4804, I understand
09 May 2017 23:46:54 : LimitlessMc, voice-junk, Third_Worm#4804, I wish life was better to people like you and us
09 May 2017 23:48:24 : LimitlessMc, voice-junk, Third_Worm#4804, Nice le
09 May 2017 23:48:32 : LimitlessMc, botchat, darth kota#9446, @Wertfuzzy77 you there?
09 May 2017 23:48:33 : LimitlessMc, voice-junk, Third_Worm#4804, i ahve no days off ;-;
09 May 2017 23:48:43 : LimitlessMc, botchat, Wertfuzzy77#0274, ya, studying for finals tho
09 May 2017 23:49:00 : LimitlessMc, botchat, darth kota#9446, Oh got you ok gl :p
09 May 2017 23:49:05 : LimitlessMc, voice-junk, Third_Worm#4804, *nod same*
09 May 2017 23:49:08 : LimitlessMc, botchat, Wertfuzzy77#0274, thanks 😛
09 May 2017 23:49:50 : LimitlessMc, voice-junk, Third_Worm#4804, i barely smile lol
09 May 2017 23:50:57 : LimitlessMc, voice-junk, Third_Worm#4804, i see
09 May 2017 23:51:06 : LimitlessMc, voice-junk, Third_Worm#4804, wait pause hold on
09 May 2017 23:51:31 : LimitlessMc, voice-junk, Third_Worm#4804, okei go on
09 May 2017 23:51:53 : LimitlessMc, voice-junk, Third_Worm#4804, this year is change too, a huge change
09 May 2017 23:51:56 : LimitlessMc, voice-junk, Third_Worm#4804, for me
09 May 2017 23:52:06 : LimitlessMc, voice-junk, Third_Worm#4804, basically i got into comp stuff
09 May 2017 23:52:15 : LimitlessMc, voice-junk, Third_Worm#4804, i met ya guys as soon as 8th grade started
09 May 2017 23:52:18 : LimitlessMc, voice-junk, Third_Worm#4804, and social media
09 May 2017 23:52:39 : LimitlessMc, botchat, AlphaBit has school till 26#3869, ;trian
09 May 2017 23:53:13 : LimitlessMc, voice-junk, Third_Worm#4804, yeah lol, i didn't know anyone too when i first joined
