20 Sep 2016 22:30:33 : The Wild Weeaboos, general, Ryan#3332, im on a crappy keyboard typing is hard
20 Sep 2016 22:30:51 : The Wild Weeaboos, general, enragednuke#2565, unhibit the ribbit
20 Sep 2016 22:30:53 : The Wild Weeaboos, general, enragednuke#2565, unbench the kench
20 Sep 2016 22:30:56 : The Wild Weeaboos, general, enragednuke#2565, unload the toad
20 Sep 2016 22:30:57 : The Wild Weeaboos, general, enragednuke#2565, unclog the frog
20 Sep 2016 22:31:14 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
20 Sep 2016 22:31:26 : The Wild Weeaboos, general, Ryan#3332, OH
20 Sep 2016 22:31:27 : The Wild Weeaboos, general, Ryan#3332, MY
20 Sep 2016 22:31:30 : The Wild Weeaboos, general, enragednuke#2565, dog
20 Sep 2016 22:31:42 : The Wild Weeaboos, general, Ryan#3332, more like frog
20 Sep 2016 22:33:14 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
20 Sep 2016 22:33:20 : The Wild Weeaboos, general, enragednuke#2565, OhMyDog
20 Sep 2016 22:33:23 : The Wild Weeaboos, general, enragednuke#2565, OhMyFrog
20 Sep 2016 22:33:26 : The Wild Weeaboos, general, enragednuke#2565, OhMyGorf
20 Sep 2016 22:33:46 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Online!
20 Sep 2016 22:37:18 : The Wild Weeaboos, general, Ryan#3332, OhMyGeeksquad
20 Sep 2016 22:39:05 : Penguins, general, Botfuzzy77#2209, **Resolate**(Suicune) is now Online!
20 Sep 2016 22:39:27 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
20 Sep 2016 22:41:46 : Penguins, general, Botfuzzy77#2209, **Resolate**(Suicune) is now Offline!
20 Sep 2016 22:42:29 : LimitlessMc, botchat, Pokken#0986, ;luck
20 Sep 2016 22:42:30 : LimitlessMc, botchat, Botfuzzy77#2209, Pokken's luck is 9.13 out of 100, which is **Completly Horrible**
20 Sep 2016 22:42:35 : LimitlessMc, botchat, Pokken#0986, ;luck
20 Sep 2016 22:42:35 : LimitlessMc, botchat, Botfuzzy77#2209, Pokken's luck is 65.19 out of 100, which is **Pretty Good**
20 Sep 2016 22:42:41 : LimitlessMc, botchat, Pokken#0986, ;luck
20 Sep 2016 22:42:41 : LimitlessMc, botchat, Botfuzzy77#2209, Pokken's luck is 70.55 out of 100, which is **Pretty Good**
20 Sep 2016 22:42:46 : LimitlessMc, botchat, Pokken#0986, ;luck
